Identification;;;
Drive side bearings for the suction Press in the Press Section of a paper machine;;;
;Bearing life time (in days);Date;
;-;16-4-2002;Censored
;303;13-2-2003;Censored
;84;8-5-2003;Censored
;328;31-3-2004;Censored
;412;17-5-2005;Censored
;259;31-1-2006;Censored
;291;18-11-2006;Uncensored
;345;29-10-2007;Uncensored
;332;25-9-2008;Censored
;385;15-10-2009;Censored
;36;20-11-2009;Censored
;98;26-2-2010;Censored
;273;26-11-2010;Censored
;364;25-11-2011;Censored
;371;30-11-2012;Censored
